name,latitude,longitude
Captain Jack's Stronghold,41.823453,-121.5017466
Fleener Chimneys,41.7581789,-121.5681677
South Street,42.289757,-85.5857497
Central Street Historical District,42.4173849,-71.1562276
Headwaters Confluence,34.1952295,-118.6018306
Echo Lake Cosway entrance,48.132057,-114.032418
C-47 Crash Site,34.0990889,-116.81651
Hospital Rock,41.834136,-121.4712816
Gillems Camp,41.8247993,-121.5560475
Canby Cross,41.8185677,-121.543624
Thomas-Wright Battlefield,41.770465,-121.538624
Black Crater,41.7651811,-121.5525993
Mammoth Crater,41.6924275,-121.5480316
Hidden Valley,41.6920776,-121.5436696
Garden Bridges,41.7087732,-121.5140105
Unknown,41.2800447,-70.1084125
The Great Frederick Fair,39.4129,-77.3949631
Dragon's Gate,37.7906877,-122.4055936
Fitzgerald Marine Reserve,37.5241013,-122.5115982
Heartbreak Hill,42.336113,-71.1785847
Corridor 71 Continues,42.319632,-72.009397
Michigan-Ohio-Indiana tri-state marker,41.6961278,-84.8059801
NY - MA Marker,42.0495412,-73.4873386
50 mile Spring Cabin,37.2636543,-111.0079192
Rotary Peace Grove,37.9192217,-122.2603004
Unknown,39.0263196,-79.935495
Teakettle Junction,36.7599965,-117.5423373
Covered Bridge,41.4607805,-76.6704248
Miami Design District,25.813414,-80.19342
boat launch,43.915979,-70.572104
Wegner Crystal Mines,34.51408,-93.6413028
Petrified Wood Gallery,41.1247335,-101.7146091
Wilbur Hot Springs,39.0387911,-122.4211541
Monte Cristo,47.9857343,-121.393589
Holiday Inn Express,41.0441108,-76.8721278
Comfort Inn,41.046726,-76.872926
Nipton,35.4678233,-115.2711788
Devil's Den,44.8930998,-110.3876853
Easter Cross,32.8398116,-117.2446749
Koreatown,34.0617936,-118.305447
Two Guns,35.1146145,-111.0920603
French Quarter,29.9594926,-90.0655403
Stratosphere Bowl,43.9766549,-103.345741
Sego,39.033535,-109.7028751
Prairie Village,44.0060853,-97.1675615
Frontier Village,46.8895992,-98.7006273
Rayado,36.3676026,-104.9302575
Arrowwood Resort Okoboji,43.3872263,-95.128602
Carnton Plantation,35.9031197,-86.8583341
Old Victoria Historic Townsite,46.7033029,-89.2283119
Little Norway,43.0270912,-89.7900559
Waycross Camp and Conference Center,39.3055626,-86.3440795
Gatton Rocks,40.6013195,-82.4767793
Toy Town Museum,42.7726166,-78.6127146
Fisher Price Toy Store,42.772802,-78.6121291
Texas-Arkansas-Louisiana tri-state marker,33.0192302,-94.0429641
Tristate Marker,36.9985962,-94.6179515
Southeast corner of New Mexico,32.0003914,-103.064631
"Idaho, Utah, and Wyoming intersect point",42.001702,-111.046714
Four Corners Monument,36.9989819,-109.045182
SoHo,40.72288,-73.9987505
Unknown,36.014157,-79.302723
Hidee Gold Mine,39.7870968,-105.5004767
Black Bear Pass Trailhead (Southeastern),37.8966244,-107.7136404
Historic Ferry,41.4192804,-72.4332376
Cranbury Inn and Suites,34.8862754,-92.1087058
POO Corners,44.886403,-91.388774
Devil's Tea Table,42.5804782,-89.7850781
Snoqualmie Falls,47.5417385,-121.838103
Vernal Fall,37.7275534,-119.5437476
Nevada Fall,37.7248248,-119.5333065
Devil's Chimney,42.9193957,-89.6309439
Donald Rock,42.9637714,-89.6752257
Doral Arrowwood,41.0448319,-73.689125
Downtown Disney Monorail Station,33.8094021,-117.924528
Chester Railway Museum,42.2803788,-72.9785729
Rainbow Mountain Resort,41.0391935,-75.1108295
Alcove House,35.7888589,-106.2847842
Forksville Covered Bridge,41.4885293,-76.599699
Gibraltar Rock,43.3430966,-89.6003202
Stephens Falls,43.0278071,-90.1293619
Beechwood Hotel,42.2750583,-71.7679256
Delaware Park Japanese Gardens,42.9352103,-78.8751269
Morning Glory Pool,44.4750622,-110.8435287
Kepler Cascades,44.4457816,-110.8060021
Fairy Falls,44.5252434,-110.8697062
New England Historic Genealogical Society,42.3517414,-71.0753026
Holiday Inn Express,40.5936527,-75.3384527
Delafield Planetarium,33.7655166,-84.2939106
Upper Yellowstone Falls,44.712891,-110.4998231
Lower Yellowstone Falls,44.7179419,-110.4962102
Mystic Falls,44.4839486,-110.8735018
Mammoth Hot Springs Hotel,44.9764095,-110.7015557
Frog Rock,44.9579793,-110.5651108
Petrified Tree,44.9162965,-110.439402
Osprey Falls,44.9287501,-110.680952
Eagle Pass,44.3241587,-110.004536
County Quad Point,38.1920388,-83.9779838
Gibbon Falls,44.6539579,-110.7708613
Artists Paintpots,44.691508,-110.7382734
Natural Bridge,44.526297,-110.455821
Saint Louis Art Museum,38.6394114,-90.2944862
Sander's Cafe and Museum,36.9599292,-84.0937519
Hole in the wall,47.9417278,-124.6508781
Unknown,45.702693,-87.3400656
Best Western,39.0893482,-77.1765052
Rochester Museum and Science Center,43.1523864,-77.5876579
Holiday Inn Express,45.0380324,-92.8344083
Best Western Plus - Kennewick Inn,46.1839395,-119.175883
Unknown,42.4011413,-71.0887654
